Month,DFSearches
2004-01,53
2004-02,72
2004-03,100
2004-04,80
2004-05,81
2004-06,50
2004-07,15
2004-08,10
2004-09,38
2004-10,70
2004-11,77
2004-12,41
2005-01,39
2005-02,67
2005-03,69
2005-04,59
2005-05,74
2005-06,32
2005-07,10
2005-08,16
2005-09,38
2005-10,64
2005-11,61
2005-12,47
2006-01,20
2006-02,47
2006-03,52
2006-04,60
2006-05,76
2006-06,21
2006-07,23
2006-08,18
2006-09,28
2006-10,32
2006-11,60
2006-12,33
2007-01,43
2007-02,50
2007-03,42
2007-04,64
2007-05,58
2007-06,23
2007-07,14
2007-08,12
2007-09,33
2007-10,57
2007-11,53
2007-12,44
2008-01,30
2008-02,52
2008-03,47
2008-04,68
2008-05,58
2008-06,29
2008-07,13
2008-08,14
2008-09,34
2008-10,54
2008-11,47
2008-12,38
2009-01,28
2009-02,45
2009-03,48
2009-04,63
2009-05,50
2009-06,26
2009-07,13
2009-08,17
2009-09,25
2009-10,47
2009-11,49
2009-12,40
2010-01,33
2010-02,41
2010-03,55
2010-04,58
2010-05,62
2010-06,23
2010-07,12
2010-08,9
2010-09,22
2010-10,35
2010-11,46
2010-12,27
2011-01,29
2011-02,31
2011-03,36
2011-04,45
2011-05,41
2011-06,16
2011-07,8
2011-08,8
2011-09,25
2011-10,32
2011-11,37
2011-12,36
2012-01,25
2012-02,41
2012-03,41
2012-04,40
2012-05,47
2012-06,18
2012-07,10
2012-08,8
2012-09,28
2012-10,32
2012-11,34
2012-12,35
2013-01,23
2013-02,30
2013-03,32
2013-04,49
2013-05,48
2013-06,21
2013-07,9
2013-08,6
2013-09,24
2013-10,35
2013-11,41
2013-12,32
2014-01,28
2014-02,39
2014-03,36
2014-04,51
2014-05,53
2014-06,24
2014-07,8
2014-08,12
2014-09,28
2014-10,39
2014-11,44
2014-12,41
2015-01,29
2015-02,38
2015-03,48
2015-04,55
2015-05,61
2015-06,21
2015-07,8
2015-08,14
2015-09,35
2015-10,51
2015-11,51
2015-12,47
2016-01,32
2016-02,38
2016-03,44
2016-04,56
2016-05,53
2016-06,22
2016-07,8
2016-08,12
2016-09,32
2016-10,40
2016-11,45
2016-12,43
2017-01,35
2017-02,45
2017-03,52
2017-04,54
2017-05,63
2017-06,23
2017-07,10
2017-08,14
2017-09,28
2017-10,48
2017-11,54
2017-12,40
2018-01,30
2018-02,48
2018-03,48
2018-04,65
2018-05,65
2018-06,23
2018-07,9
2018-08,13
2018-09,29
2018-10,47
2018-11,50
2018-12,44
2019-01,44
2019-02,46
2019-03,58
2019-04,68
2019-05,78
2019-06,27
2019-07,10
2019-08,31
2019-09,42
2019-10,53
2019-11,52
2019-12,39
2020-01,44
2020-02,49
2020-03,40
2020-04,54
2020-05,49
2020-06,21
2020-07,12
2020-08,16
2020-09,45
2020-10,32
2020-11,31
2020-12,28
2021-01,28
2021-02,26
2021-03,35
2021-04,38
2021-05,37
2021-06,18
2021-07,7
2021-08,13
2021-09,27
2021-10,23
2021-11,29
2021-12,22
2022-01,20
2022-02,27
